,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C]
2107,7.421536,10.819524,10.524197,10.518726,10.503266,10.394811,10.145828,8.293225,5.444784,6.440621,8.293225,7.311032,2.886654,6.328840,7.769389,7.023991,2.190717,6.278593
2108,7.147275,9.983835,9.593435,9.511592,9.489190,9.291824,8.990963,7.805898,2.624494,6.620832,7.805898,7.070481,1.628682,6.335065,7.413676,6.842817,1.264245,6.271959
2109,7.020590,9.755189,9.412287,9.290849,9.277459,9.029506,8.774708,7.610781,2.480389,6.446853,7.610781,6.949593,1.409026,6.288404,7.258147,6.749096,1.084814,6.240045
2110,6.864475,8.838543,8.540814,8.026406,8.017792,7.744890,7.547926,7.264150,0.676843,6.980374,7.264150,6.833787,1.026473,6.403423,7.034623,6.670020,0.869626,6.305417
2111,6.751272,8.383814,8.104646,7.447820,7.439571,7.121180,7.018359,7.033041,-0.037215,7.047722,7.033041,6.741575,0.738830,6.450110,6.877592,6.606906,0.686158,6.336220
2112,6.667962,8.138345,7.857606,7.175391,7.167293,6.796527,6.765142,6.881544,-0.293002,6.997947,6.881544,6.667806,0.538011,6.454067,6.767550,6.554146,0.537169,6.340742
2113,6.588928,7.849466,7.579683,6.835049,6.827102,6.443974,6.427002,6.727778,-0.786565,7.028555,6.727778,6.600867,0.331887,6.473956,6.660092,6.507597,0.398792,6.355102
2114,6.520112,7.622523,7.352981,6.608315,6.600414,6.187521,6.180421,6.600528,-1.097737,7.020635,6.600528,6.540601,0.156590,6.480673,6.568567,6.464734,0.271315,6.360901
2115,6.446056,7.359381,7.103215,6.287717,6.280293,5.867817,5.861066,6.455862,-1.631364,7.050657,6.455862,6.477884,-0.060400,6.499906,6.467607,6.421427,0.126658,6.375248
2116,6.450822,7.704767,7.469403,6.727958,6.721043,6.322710,6.307901,6.508818,-0.601545,6.709734,6.508818,6.466877,0.125571,6.424936,6.486449,6.410105,0.228573,6.333762
2117,6.425943,7.675105,7.465317,6.690635,6.682530,6.322529,6.250511,6.469314,-0.735020,6.688117,6.469314,6.442529,0.089978,6.415744,6.455028,6.392702,0.209372,6.330375
2118,6.621852,8.830564,8.646694,8.261425,8.254740,7.945875,7.731729,6.928865,3.094855,6.126000,6.928865,6.582946,1.333436,6.237027,6.744375,6.481825,1.012066,6.219276
2119,6.796993,9.436946,9.145902,8.932822,8.919887,8.661485,8.449454,7.272978,4.887775,6.096502,7.272978,6.730830,2.252401,6.188683,6.983833,6.583463,1.663372,6.183093
2120,6.973962,9.830756,9.479075,9.613240,9.591192,9.363599,9.161599,7.610918,6.519964,6.060237,7.610918,6.882902,3.061003,6.154886,7.222643,6.689756,2.240565,6.156870
2121,7.146897,10.057403,9.682830,9.975792,9.953498,9.779882,9.613865,7.900788,7.698462,6.187711,7.900788,7.042854,3.855500,6.184921,7.443223,6.808238,2.853585,6.173252
2122,7.313284,10.278160,9.864901,10.221629,10.200208,10.085468,9.944867,8.154623,8.621107,6.364379,8.154623,7.202819,4.583513,6.251015,7.646994,6.931902,3.443604,6.216809
2123,7.514782,10.472868,10.072306,10.572197,10.548810,10.480609,10.376028,8.457725,10.025763,6.539422,8.457725,7.396284,5.547487,6.334842,7.891623,7.084108,4.220375,6.276592
2124,7.684644,10.790189,10.448024,10.941886,10.914262,10.873595,10.783741,8.717334,10.974376,6.650927,8.717334,7.557587,6.159242,6.397840,8.098802,7.211321,4.713278,6.323840
2125,7.858492,10.905163,10.538622,11.099975,11.075533,11.056168,10.981972,8.940456,11.686429,6.898941,8.940456,7.733232,6.910620,6.526008,8.296604,7.357793,5.374116,6.418983
2126,8.025219,11.164118,10.825512,11.374056,11.358394,11.352749,11.289680,9.170092,12.514455,7.050505,9.170092,7.896531,7.519351,6.622970,8.490860,7.493059,5.891208,6.495258
2127,8.204240,11.353099,11.047430,11.632602,11.618253,11.622560,11.553992,9.403081,13.361168,7.252170,9.403081,8.074904,8.250457,6.746727,8.694720,7.643692,6.528845,6.592664
2128,8.350469,11.498348,11.241910,11.875389,11.857067,11.869518,11.790760,9.594272,13.868973,7.397785,9.594272,8.219697,8.679285,6.845123,8.861166,7.766817,6.909894,6.672468
2129,8.479210,11.779823,11.610476,12.195237,12.183535,12.195308,12.090071,9.781289,14.429996,7.472507,9.781289,8.342541,8.992238,6.903794,9.013957,7.868071,7.161840,6.722185
2130,8.040825,11.460637,11.243253,11.559237,11.544183,11.562005,11.369444,9.171617,8.795824,6.973791,9.171617,7.911667,5.042390,6.651717,8.499644,7.516460,3.934756,6.533276
2131,7.802299,11.458351,11.197210,11.229580,11.215888,11.224395,11.004065,8.844690,7.193813,6.685315,8.844690,7.675943,3.893602,6.507196,8.221358,7.323375,2.991572,6.425391
