,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,central_loop_P_cp,GHX0_P_cp
8196,266.0,0.0,14.122159029785776,3.698501122277686e-06,0.10049417319584628
8197,266.0,0.0,14.12216596722851,3.698506572893052e-06,0.1004942719304295
8198,266.0,0.0,14.122172903832126,3.698512022854495e-06,0.10049437065311874
8199,266.0,0.0,14.122179839596829,3.69851747216217e-06,0.10049446936391697
8200,266.0,0.0,14.122186774522827,3.6985229208162445e-06,0.1004945680628271
8201,266.0,0.0,14.122193708610322,3.6985283688168703e-06,0.100494666749852
8202,266.0,0.0,14.122200641859516,3.6985338161642068e-06,0.1004947654249945
8203,266.0,0.0,14.122207574270613,3.698539262858409e-06,0.1004948640882575
8204,266.0,0.0,14.12221450584382,3.6985447088996407e-06,0.10049496273964387
8205,266.0,0.0,14.122221436579334,3.6985501542880533e-06,0.10049506137915656
8206,266.0,0.0,14.12222836647736,3.6985555990238055e-06,0.1004951600067983
8207,266.0,0.0,14.122235295538104,3.69856104310706e-06,0.10049525862257211
8208,266.0,0.0,14.12224222376177,3.698566486537971e-06,0.10049535722648079
8209,266.0,0.0,14.122249151148555,3.6985719293166965e-06,0.10049545581852723
8210,266.0,0.0,14.12225607769867,3.698577371443396e-06,0.1004955543987143
8211,266.0,0.0,14.122263003412309,3.6985828129182218e-06,0.10049565296704481
8212,266.0,0.0,14.122269928289684,3.6985882537413373e-06,0.1004957515235218
8213,266.0,0.0,14.122276852330996,3.6985936939128994e-06,0.100495850068148
8214,266.0,0.0,14.122283775536443,3.6985991334330614e-06,0.10049594860092632
8215,266.0,0.0,14.12229069790623,3.698604572301983e-06,0.10049604712185956
8216,266.0,0.0,14.12229761944056,3.6986100105198234e-06,0.10049614563095073
8217,266.0,0.0,14.122304540139636,3.6986154480867355e-06,0.10049624412820257
8218,266.0,0.0,14.122311460003658,3.698620885002879e-06,0.10049634261361795
8219,266.0,0.0,14.12231837903283,3.6986263212684117e-06,0.10049644108719981
8220,266.0,0.0,14.122325297227356,3.698631756883487e-06,0.10049653954895091
8221,266.0,0.0,14.122332214587436,3.698637191848268e-06,0.1004966379988742
8222,266.0,0.0,14.122339131113272,3.6986426261629063e-06,0.1004967364369725
8223,266.0,0.0,14.122346046805065,3.698648059827558e-06,0.10049683486324863
8224,266.0,0.0,14.122352961663022,3.6986534928423845e-06,0.10049693327770554
8225,266.0,0.0,14.122359875687339,3.6986589252075407e-06,0.10049703168034609
8226,266.0,0.0,14.122366788878221,3.6986643569231805e-06,0.10049713007117302
8227,266.0,0.0,14.122373701235873,3.6986697879894667e-06,0.10049722845018924
8228,266.0,0.0,14.12238061276049,3.6986752184065482e-06,0.10049732681739762
8229,266.0,0.0,14.122387523452277,3.69868064817459e-06,0.10049742517280102
8230,266.0,0.0,14.122394433311435,3.6986860772937405e-06,0.10049752351640226
8231,266.0,0.0,14.122401342338168,3.698691505764161e-06,0.10049762184820421
8232,266.0,0.0,14.12240825053267,3.698696933586005e-06,0.1004977201682097
8233,266.0,0.0,14.122415157895151,3.698702360759432e-06,0.10049781847642164
8234,266.0,0.0,14.122422064425807,3.6987077872845936e-06,0.10049791677284273
8235,266.0,0.0,14.122428970124842,3.6987132131616493e-06,0.100498015057476
8236,266.0,0.0,14.122435874992462,3.698718638390759e-06,0.10049811333032423
8237,266.0,0.0,14.122442779028855,3.6987240629720708e-06,0.1004982115913902
8238,266.0,0.0,14.12244968223423,3.6987294869057436e-06,0.10049830984067677
8239,266.0,0.0,14.12245658460879,3.6987349101919356e-06,0.10049840807818688
8240,266.0,0.0,14.122463486152729,3.698740332830802e-06,0.10049850630392328
8241,266.0,0.0,14.122470386866253,3.698745754822496e-06,0.1004986045178888
8242,266.0,0.0,14.12247728674956,3.6987511761671746e-06,0.10049870272008633
