,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,central_loop_P_cp,GHX0_P_cp,GHX1_P_cp,GHX2_P_cp,ISHX0_P_cp
6726,2752.056549603427,4788.725040452529,595.5551337905911,3477.0439462510963,-0.0,150.74787377161888,9572.717052385957,0.0,457.45851497898417,102.58683543820925,-0.0,4.474186997317232,2604.2437128381434,0.0,79.17709747038566,4087.690575630875,-0.0,178.43796847061662,50.74930589949682,24.862157436378485,13.259817299401858,11.602340136976627,23.170357459213598
6727,2637.435313217111,5707.23385222822,663.9260026447895,3446.0900314680443,-0.0,149.1906503506533,7789.78531999281,0.0,372.1151923964146,100.49290927906291,-0.0,4.379485000238977,2445.0048009823117,0.0,74.28113302236659,4323.545502698644,-0.0,188.53775455721717,48.45463892857364,24.106952686209645,12.85704143264515,11.2499112535645,30.102706940143847
6728,1443.3804605140506,7444.93569909521,725.5637100104971,4549.6726160183425,-0.0,196.7911818858271,5139.7560292819135,0.0,245.4352960957593,98.65144686583162,-0.0,4.295236573197711,2223.629416981125,0.0,67.49535017389908,4133.5905554606115,-0.0,180.0786452252781,44.448677359991976,22.759251202512598,12.138267308006723,10.620983894505878,43.61910848230244
6729,1054.731699405644,8807.507735140029,810.6781191987988,5600.9903992943355,-0.0,241.80459142212496,3023.070737173472,0.0,144.24258248069637,101.7315262837583,-0.0,4.4217147128529195,2086.421141908746,0.0,63.22195795793332,3592.0485303763203,-0.0,156.20667639747464,44.60583953177888,22.81286792775958,12.166862894805112,10.64600503295447,64.54883586730139
6730,1101.4980493563135,8675.923569649913,801.9885754857395,6680.663807928618,-0.0,288.2446226741327,4627.0300298010425,0.0,220.6610701389961,97.6278254823087,-0.0,4.238451542883503,2098.1483283613957,0.0,63.50082320971272,3235.0982249096296,-0.0,140.51503214650694,55.333049219156244,26.337536065795504,14.046685901757604,12.290850164037902,71.14071534885109
6731,1049.5724466307738,8695.269114857472,800.6885489987753,6702.207097866331,-0.0,289.30636470159084,4137.067426420264,0.0,197.36458056412334,123.18435734583504,-0.0,5.3520455404815515,2042.7799410782918,0.0,61.8744112987114,2619.090531499725,-0.0,113.84400027295669,50.72049215238139,24.852745948409392,13.254797839151674,11.597948109257716,71.07609397097728
6732,1157.8546787009718,8528.220912130135,794.1205021832667,6699.800637285141,-0.0,289.1810459641533,6627.506327065318,0.0,316.14378756254223,120.66050436607921,-0.0,5.241282367914186,2402.2076313068073,0.0,72.7455831842006,2281.0632840958706,-0.0,99.13000890764381,64.86621204641378,29.281799732032766,15.616959857084142,13.664839874948624,69.74866485500888
6733,1216.0797440932013,8472.05600626827,793.8946990717646,6707.868264350393,-0.0,289.5884911713117,6583.612846698208,0.0,314.1359063950446,157.78402769853756,-0.0,6.859347296596589,2545.9155129617047,0.0,77.16083413969581,2038.8218006364484,-0.0,88.6780305320649,64.84193721573008,29.274493873302795,15.613063399094823,13.661430474207968,69.77808640993719
6734,1145.7353032651713,8704.892549435115,808.6516600907048,6712.539645680759,-0.0,289.8174773154589,6008.500562866441,0.0,286.7081828942916,123.71362832790355,-0.0,5.378505334412036,2280.7604641411726,0.0,69.12892447323885,1787.2250340288622,-0.0,77.74185529371326,60.74760824655981,28.028823155662362,14.948705683019924,13.080117472642439,72.77499916869047
6735,1233.756039881034,8700.982137710162,814.2469564992612,6706.278635428752,-0.0,289.5014721069187,5170.871833728562,0.0,246.705406025628,99.67379674448591,-0.0,4.332148538519119,2227.807447613341,0.0,67.50431749598715,2036.2392080029188,-0.0,88.54406540025276,56.991597483338,26.86123407381549,14.325991506034926,12.535242567780559,73.85735832495024
