,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,central_loop_P_cp,GHX0_P_cp,GHX1_P_cp,GHX2_P_cp
3473,0.0,56068.49642045771,4507.756019732643,5513.780039280533,-0.0,238.04666046970442,0.0,15468.40259866922,903.364564159206,378.8672289149574,-0.0,16.356851010035008,0.0,3345.306123315265,124.96538251760107,3376.4651569681596,-0.0,145.772274026634,2226.3520428372276,228.98378581721246,122.1246857691799,106.85910004803249
3474,0.0,40996.656855472116,3287.895099052399,4532.687970062716,-0.0,195.62555113231787,0.0,10830.995003905939,631.7005805241038,315.3149613146007,-0.0,13.608627704982034,0.0,3506.5417499135947,130.8108140717397,3958.26222482796,-0.0,170.83400277550768,939.326336057968,128.81105214889197,68.69922781274238,60.11182433614958
3475,0.0,38597.59832866905,3127.5898627288802,4574.012540729318,-0.0,197.69134274049028,0.0,8778.67251970755,514.7967405768752,241.44896607196225,-0.0,10.435557375725619,0.0,3292.5074519923014,123.51536487973951,3813.4794925594933,-0.0,164.82068527018146,746.1020775347747,110.4776161377141,58.92139527344751,51.55622086426658
3476,0.0,27428.223288548244,2233.7959548110543,4598.564301940817,-0.0,198.90280958070028,0.0,4580.876286509404,269.3251006097878,266.21809630461314,-0.0,11.514795453412466,0.0,2806.5981474740815,105.56815017849152,3510.076848617236,-0.0,151.82219953725115,266.70445256074856,55.645362055348045,29.677526429518952,25.967835625829085
3477,0.0,24968.85199311889,2054.851899253081,3931.0499528787564,-0.0,170.31927308320707,0.0,2993.453496022844,176.90138929998088,157.29584666812943,-0.0,6.8151040013888355,0.0,2327.218363447335,88.00544059968261,2895.9962963003554,-0.0,125.47385302909416,176.11039098041806,42.1954331284033,22.504231001815096,19.691202126588205
3478,0.0,20672.54350351374,1713.5623010095567,3866.548900684974,-0.0,167.74074689226103,0.0,1769.582552840196,104.92836179324578,116.27038856726533,-0.0,5.044105821672503,0.0,1815.0345094193917,68.88009337001746,2543.002537872609,-0.0,110.32193204024887,96.00493113229953,28.15817402397113,15.017692812784603,13.140481211186522
3479,0.0,18287.784562437995,1524.767833485028,3892.3893991525338,-0.0,169.05283769791006,0.0,1517.5356217626656,90.21967061280569,119.46362783568523,-0.0,5.188500742424872,0.0,1321.897935787301,50.305415906599556,1427.836559037892,-0.0,62.013277018668596,63.20016191778162,21.308567551544375,11.364569360823662,9.94399819072071
3480,0.0,15437.8306501253,1293.8472063571717,3915.271978410246,-0.0,170.22978624370262,0.0,1294.4134474034238,77.12756909755576,117.02885616559138,-0.0,5.088228168890243,0.0,889.2994763131715,33.92395746364574,440.58080647989084,-0.0,19.155751356155562,36.87845870017661,14.879578750544301,7.935775333623628,6.943803416920675
3481,0.0,14516.592207505999,1222.2762077352409,3928.0049782307074,-0.0,170.95800804791642,0.0,800.8050523639846,47.807727880539986,120.73015101200234,-0.0,5.254521377320872,0.0,639.736938554572,24.45462764407644,251.98563343226755,-0.0,10.967135272745246,28.033251343886462,12.39341832279968,6.60982310549316,5.783595217306518
3482,0.0,12941.12419249054,1092.898369113907,3941.1676951120376,-0.0,171.65067094077494,0.0,1000.596704306039,59.80729917059887,117.83969767406747,-0.0,5.132302082527028,0.0,497.74453314995907,19.05183062606184,109.61264044014064,-0.0,4.773986983216962,21.501126170525612,10.384436463691323,5.538366113968705,4.846070349722616
3483,0.0,11662.7437868478,987.1611682796308,3951.6387542083135,-0.0,172.20041230514292,0.0,872.0973965961638,52.17279942738514,121.61192087529133,-0.0,5.299478069356344,0.0,436.6560548851815,16.72980645990674,109.90537823450886,-0.0,4.789342504139593,16.33317168862602,8.645480718007194,4.610923049603836,4.034557668403358
3484,0.0,14322.648779018564,1214.4060513815766,3959.7479255309754,-0.0,172.628087469624,0.0,956.1288615160657,57.238069688032276,118.29101046602945,-0.0,5.156982536675415,0.0,402.03720972487787,15.414766159793297,253.93282412772186,-0.0,11.070385943582739,27.282516816884307,12.171153772529136,6.491282012015536,5.679871760513596
3485,0.0,15365.057544344703,1304.1888746720326,3964.6392141384395,-0.0,172.88827850912568,0.0,868.6100017503705,52.019918130926676,160.6485129108922,-0.0,7.005491128465986,0.0,420.42408880770836,16.127000703441112,1358.0139722584754,-0.0,59.21968814156742,34.91890631532882,14.347708686688579,7.652111299567245,6.695597387121336
3486,0.0,26749.50478448149,2268.171799367648,3958.6266183843372,-0.0,172.58116332385225,0.0,79.05081362992279,4.732409997836097,147.48985505548512,-0.0,6.43000040613345,0.0,501.2439923573548,19.218882512274046,4567.7111566961585,-0.0,199.13494783493786,149.8388618661169,37.88713557938873,20.206472309007324,17.680663270381412
3487,0.0,33239.37504755218,2803.968890434691,6684.105153423546,-0.0,291.0375294237823,0.0,0.0,0.0,299.7444121670604,-0.0,13.051391498681484,0.0,575.2865921629507,22.009104969438706,4825.711491087983,-0.0,210.1198466871587,290.81912272997073,58.95094459836039,31.440503785792203,27.51044081256818
3488,0.0,36850.078485463986,3090.632377420499,8104.792120242655,-0.0,352.4380063037782,0.0,4054.53651292049,241.6627641831549,505.2632506394378,-0.0,21.971442335845886,0.0,586.3834324389163,22.37597550506057,4604.530241939132,-0.0,200.22863441263618,520.7188649012635,86.9249273237707,46.35996123934438,40.564966084426324
3489,0.0,39016.77703439047,3252.8958661509005,9152.817376178675,-0.0,397.51744870336546,0.0,5407.0618517357825,321.4498060064727,542.9329006627679,-0.0,23.5802040637556,0.0,640.0158487295537,24.355461350912496,4010.0608193118314,-0.0,174.16158113095602,649.1514643338792,100.68686583803172,53.69966178028359,46.98720405774814
