,Zone0_EFT[C],Zone0_ExFT[C],Zone0_CNT[C],Zone1_EFT[C],Zone1_ExFT[C],Zone1_CNT[C],Zone2_EFT[C],Zone2_ExFT[C],Zone2_CNT[C],Zone3_EFT[C],Zone3_ExFT[C],Zone3_CNT[C],Zone4_EFT[C],Zone4_ExFT[C],Zone4_CNT[C],Zone5_EFT[C],Zone5_ExFT[C],Zone5_CNT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX0_CNT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX1_CNT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C],GHX2_CNT[C]
27,4.525829,1.681860,1.681860,4.525829,0.226501,1.563492,4.525829,1.578624,1.570834,4.525829,0.226501,1.569189,4.525829,1.559758,1.567703,4.525829,0.226501,1.566432,1.566432,3.046131,-10.833264,4.525829,4.525829,1.566432,3.046125,-10.833224,4.525819,4.525826,1.566432,3.046137,-10.833310,4.525842,4.525829
28,4.415435,1.552040,1.552040,4.415435,0.121595,1.437736,4.415435,1.472020,1.455088,4.415435,0.121595,1.453513,4.415435,1.453036,1.453439,4.415435,0.121595,1.452245,1.452245,2.933840,-11.472633,4.415435,4.415435,1.452245,2.933835,-11.472590,4.415424,4.415432,1.452245,2.933847,-11.472683,4.415448,4.415435
29,4.434088,1.689164,1.689164,4.434088,0.149414,1.553324,4.434088,1.497315,1.524235,4.434088,0.149414,1.522535,4.434088,1.478419,1.515149,4.434088,0.149414,1.512092,1.512092,2.973090,-10.736763,4.434088,4.434088,1.512092,2.973085,-10.736723,4.434078,4.434085,1.512092,2.973096,-10.736808,4.434101,4.434088
30,4.408461,1.893522,1.893522,4.408461,0.122854,1.717781,4.408461,1.470975,1.576660,4.408461,0.122854,1.574203,4.408461,1.452037,1.553594,4.408461,0.122854,1.536377,1.536377,2.972419,-10.640511,4.408461,4.408461,1.536377,2.972413,-10.640472,4.408450,4.408457,1.536377,2.972425,-10.640556,4.408473,4.408461
31,4.494966,4.108474,4.108474,4.494966,0.209235,3.740596,4.494966,1.557524,2.769695,4.494966,0.209235,2.764788,4.494966,1.538705,2.522948,4.494966,0.209235,2.415010,2.415010,3.454988,-6.713608,4.494966,4.494966,2.415010,3.454984,-6.713585,4.494959,4.494964,2.415010,3.454992,-6.713634,4.494974,4.494966
32,4.590111,6.580683,6.580683,4.590111,0.294189,5.557115,4.590111,1.645466,3.991338,4.590111,0.294189,3.975290,4.590111,1.626711,3.476395,4.590111,0.294189,3.308262,3.308262,3.949187,-3.876676,4.590111,4.590111,3.308262,3.949185,-3.876664,4.590107,4.590110,3.308262,3.949189,-3.876689,4.590115,4.590111
33,4.698520,7.631921,7.631921,4.698520,0.391293,6.272092,4.698520,2.379675,5.420017,4.698520,0.391293,5.374359,4.698520,1.727203,4.507628,4.698520,0.391293,4.261603,4.261603,4.480061,-1.119751,4.698520,4.698520,4.261603,4.480061,-1.119749,4.698519,4.698519,4.261603,4.480062,-1.119752,4.698520,4.698520
34,4.813295,8.468725,8.468725,4.813295,0.493435,6.866035,4.813295,2.192971,6.268867,4.813295,0.493435,6.209067,4.813295,1.833104,5.210141,4.813295,0.493435,4.946554,4.946554,4.879925,0.319463,4.813295,4.813295,4.946554,4.879925,0.319458,4.813297,4.813296,4.946554,4.879924,0.319467,4.813293,4.813295
35,4.914020,9.078476,9.078476,4.914020,0.581362,7.205685,4.914020,4.186101,6.829427,4.914020,0.581362,6.767772,4.914020,1.924783,5.799015,4.914020,0.581362,5.541768,5.541768,5.227894,1.542007,4.914020,4.914020,5.541768,5.227896,1.541999,4.914024,4.914021,5.541768,5.227892,1.542017,4.914016,4.914020
36,4.995684,9.531044,9.531044,4.995684,0.651984,7.572598,4.995684,6.860404,7.452705,4.995684,0.651984,7.380771,4.995684,1.998619,6.456111,4.995684,0.651984,6.237720,6.237720,5.616702,3.214401,4.995684,4.995684,6.237720,5.616704,3.214387,4.995689,4.995686,6.237720,5.616698,3.214418,4.995677,4.995684
37,5.104523,9.984517,9.984517,5.104523,0.750712,8.234149,5.104523,7.431413,8.071200,5.104523,0.750712,7.983221,5.104523,2.100388,7.083722,5.104523,0.750712,6.880917,6.880917,5.992720,4.699279,5.104523,5.104523,6.880917,5.992724,4.699259,5.104530,5.104526,6.880917,5.992716,4.699301,5.104514,5.104523
38,5.226705,10.465223,10.465223,5.226705,0.860051,8.488530,5.226705,9.066225,8.591656,5.226705,0.860051,8.505679,5.226705,2.213533,7.637470,5.226705,0.860051,7.446171,7.446171,6.336438,5.911004,5.226705,5.226705,7.446171,6.336443,5.910980,5.226714,5.226708,7.446171,6.336433,5.911031,5.226695,5.226705
39,5.328706,10.860863,10.860863,5.328706,0.948603,8.944787,5.328706,9.315853,9.001515,5.328706,0.948603,8.941149,5.328706,2.305979,8.061073,5.328706,0.948603,7.879837,7.879837,6.604272,6.573164,5.328706,5.328706,7.879837,6.604277,6.573138,5.328716,5.328709,7.879837,6.604266,6.573194,5.328694,5.328706
40,5.456114,11.180009,11.180009,5.456114,1.063640,9.306255,5.456114,8.808472,9.245867,5.456114,1.063640,9.183973,5.456114,2.424694,8.244209,5.456114,1.063640,8.027973,8.027973,6.742043,6.391427,5.456114,5.456114,8.027973,6.742048,6.391402,5.456124,5.456117,8.027973,6.742038,6.391456,5.456102,5.456114
41,5.582185,11.358799,11.358799,5.582185,1.175170,9.656427,5.582185,7.388662,9.392919,5.582185,1.175170,9.307322,5.582185,2.540463,8.225183,5.582185,1.175170,7.970230,7.970230,6.776207,5.747535,5.582185,5.582185,7.970230,6.776212,5.747512,5.582194,5.582188,7.970230,6.776202,5.747561,5.582174,5.582185
42,5.643374,11.509302,11.509302,5.643374,1.223710,10.316266,5.643374,6.385211,9.671520,5.643374,1.223710,9.615401,5.643374,2.592524,8.449737,5.643374,1.223710,8.108039,8.108039,6.875707,5.974648,5.643374,5.643374,8.108039,6.875711,5.974625,5.643384,5.643377,8.108039,6.875701,5.974675,5.643363,5.643374
43,6.084037,10.605860,10.605860,6.084037,1.647065,9.344517,6.084037,3.068469,8.021602,6.084037,1.647065,7.973169,6.084037,3.021847,6.882695,6.084037,1.647065,6.513818,6.513818,6.298927,0.820767,6.084037,6.084037,6.513818,6.298929,0.820760,6.084040,6.084038,6.513818,6.298925,0.820775,6.084033,6.084037
