,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C],ISHX0_N_EFT[C],ISHX0_N_ExFT[C],ISHX0_HP_EFT[C]
2136,7.889383,11.391541,8.680475,8.545645,8.537273,8.385988,8.353444,7.610592,1.999905,6.867740,7.610592,7.113478,1.338330,6.616364,7.345465,6.937492,1.098343,6.529519,7.155077,10.092300,10.826605
2137,7.746062,11.108047,8.420218,8.108247,8.099692,7.911259,7.893007,7.428361,1.252406,6.963716,7.428361,7.026530,1.083095,6.624699,7.214051,6.870664,0.925567,6.527276,7.053804,9.822837,10.515095
2138,7.613237,10.828353,8.192381,7.800047,7.791620,7.566157,7.558443,7.274221,0.757608,6.990000,7.274221,6.948830,0.867349,6.623438,7.100679,6.810983,0.772200,6.521287,6.965488,9.556484,10.204233
2139,7.477338,10.539298,7.909882,7.397662,7.389402,7.146704,7.139317,7.105229,0.094652,7.071142,7.105229,6.873925,0.642268,6.642621,6.981867,6.755937,0.627347,6.530007,6.876433,9.280052,9.880957
2140,7.589216,10.952756,8.192165,7.772995,7.765835,7.545212,7.529825,7.155593,1.193699,6.781361,7.155593,6.865349,0.925800,6.575105,7.000796,6.745425,0.814566,6.490053,6.881623,9.711995,10.419588
2141,7.594769,11.016953,8.166559,7.702981,7.694606,7.498162,7.423850,7.119991,1.094454,6.816131,7.119991,6.848478,0.977947,6.576965,6.975184,6.733039,0.872168,6.490894,6.862183,9.792527,10.525113
2142,7.972558,11.866066,8.978241,8.810644,8.804891,8.661234,8.476594,7.536900,4.633875,6.597206,7.536900,7.024578,2.526394,6.512255,7.263661,6.859189,1.994555,6.454718,7.074908,10.665508,11.563158
2143,8.150401,12.000884,9.269011,9.187100,9.177252,9.068556,8.907038,7.856785,6.307218,6.806532,7.856785,7.225686,3.790019,6.594587,7.520199,7.017290,3.020183,6.514382,7.285508,10.745077,11.609970
2144,8.341004,12.151472,9.475088,9.601330,9.585856,9.496526,9.354502,8.165606,7.816892,6.976711,8.165606,7.427106,4.855578,6.688606,7.771740,7.179160,3.896163,6.586580,7.495203,10.878406,11.724207
2145,8.492564,12.275501,9.641706,9.784895,9.769213,9.701999,9.585283,8.377502,8.478724,7.169720,8.377502,7.590513,5.524728,6.803524,7.957774,7.317278,4.496337,6.676782,7.658876,10.993629,11.827317
2146,8.624767,12.359775,9.772855,9.929493,9.914488,9.871090,9.772561,8.563267,9.119921,7.353973,8.563267,7.745545,6.166866,6.927824,8.127149,7.452735,5.086109,6.778321,7.812422,11.061802,11.874148
2147,8.833679,12.578634,9.960335,10.218004,10.201599,10.177093,10.103726,8.826469,10.438086,7.549212,8.826469,7.947784,7.180851,7.069098,8.357837,7.627453,5.968893,6.897069,8.016991,11.283743,12.100431
